year,mo,dy, hr, Pmean, Pstdv,  n
2016,08,12, 08, 0.088, 0.040, 12
2016,08,12, 09, 0.356, 0.095, 12
2016,08,12, 10, 0.586, 0.215, 12
2016,08,12, 11, 0.346, 0.097, 12
2016,08,12, 12, 0.958, 0.197, 12
2016,08,12, 13, 1.426, 0.341, 12
2016,08,12, 14, 1.769, 0.477, 12
2016,08,12, 15, 1.794, 0.587, 12
2016,08,12, 16, 1.300, 0.344, 12
2016,08,12, 17, 1.310, 0.329, 12
2016,08,12, 18, 0.667, 0.184, 12
2016,08,12, 19, 0.175, 0.104, 12
2016,08,12, 20, 0.036, 0.019,  6
2016,08,13, 06, 0.053, 0.026,  5
2016,08,13, 07, 0.208, 0.066, 12
2016,08,13, 08, 0.521, 0.315, 12
2016,08,13, 09, 0.635, 0.188, 12
2016,08,13, 10, 0.812, 0.413, 12
2016,08,13, 11, 0.722, 0.305, 12
2016,08,13, 12, 1.606, 0.703, 12
2016,08,13, 13, 1.886, 0.513, 12
2016,08,13, 14, 2.032, 0.511, 12
2016,08,13, 15, 1.595, 0.412, 12
2016,08,13, 16, 0.777, 0.431, 12
2016,08,13, 17, 0.425, 0.084, 12
2016,08,13, 18, 0.193, 0.152, 12
2016,08,13, 19, 0.082, 0.043, 12
2016,08,13, 20, 0.019, 0.007,  5
2016,08,15, 06, 0.046, 0.014,  8
2016,08,15, 07, 0.259, 0.204, 12
2016,08,15, 08, 1.051, 0.234, 12
2016,08,15, 09, 1.745, 0.226, 12
2016,08,15, 10, 2.295, 0.151, 12
2016,08,15, 11, 2.632, 0.288, 12
2016,08,15, 12, 2.578, 0.495, 12
2016,08,15, 13, 2.749, 0.318, 12
2016,08,15, 14, 2.742, 0.289, 12
2016,08,15, 15, 2.050, 0.889, 12
2016,08,15, 16, 2.079, 0.391, 12
2016,08,15, 17, 1.408, 0.328, 12
2016,08,15, 18, 0.673, 0.208, 12
2016,08,15, 19, 0.131, 0.091, 12
2016,08,15, 20, 0.029, 0.014,  5
2016,08,16, 06, 0.057, 0.031,  8
2016,08,16, 07, 0.324, 0.198, 12
2016,08,16, 08, 1.094, 0.253, 12
2016,08,16, 09, 1.759, 0.222, 12
2016,08,16, 10, 2.257, 0.222, 12
2016,08,16, 11, 2.482, 0.300, 12
2016,08,16, 12, 2.903, 0.157, 12
2016,08,16, 13, 2.753, 0.342, 12
2016,08,16, 14, 2.652, 0.477, 12
2016,08,16, 15, 2.541, 0.255, 12
2016,08,16, 16, 2.069, 0.198, 12
2016,08,16, 17, 1.431, 0.213, 12
2016,08,16, 18, 0.691, 0.228, 12
2016,08,16, 19, 0.129, 0.082, 12
2016,08,16, 20, 0.029, 0.014,  5
2016,08,17, 06, 0.046, 0.024,  8
2016,08,17, 07, 0.265, 0.194, 12
2016,08,17, 08, 1.052, 0.241, 12
2016,08,17, 09, 1.796, 0.204, 12
2016,08,17, 10, 2.389, 0.150, 12
2016,08,17, 11, 2.783, 0.085, 12
2016,08,17, 12, 2.968, 0.031, 12
2016,08,17, 13, 2.979, 0.014, 12
2016,08,17, 14, 2.862, 0.059, 12
2016,08,17, 15, 2.562, 0.114, 12
2016,08,17, 16, 2.095, 0.167, 12
2016,08,17, 17, 1.462, 0.211, 12
2016,08,17, 18, 0.706, 0.235, 12
2016,08,17, 19, 0.112, 0.081, 12
2016,08,17, 20, 0.027, 0.006,  4
2016,08,18, 06, 0.038, 0.017,  8
2016,08,18, 07, 0.260, 0.201, 12
2016,08,18, 08, 1.055, 0.243, 12
2016,08,18, 09, 1.793, 0.196, 12
2016,08,18, 10, 2.353, 0.145, 12
2016,08,18, 11, 2.732, 0.088, 12
2016,08,18, 12, 2.913, 0.031, 12
2016,08,18, 13, 2.914, 0.023, 12
2016,08,18, 14, 2.759, 0.071, 12
2016,08,18, 15, 2.495, 0.098, 12
2016,08,18, 16, 2.046, 0.165, 12
2016,08,18, 17, 1.219, 0.409, 12
2016,08,18, 18, 0.667, 0.184, 12
2016,08,18, 19, 0.116, 0.074, 12
2016,08,18, 20, 0.014, 0.005,  5
2016,08,19, 06, 0.050, 0.019,  7
2016,08,19, 07, 0.265, 0.168, 12
2016,08,19, 08, 0.963, 0.225, 12
2016,08,19, 09, 1.648, 0.186, 12
2016,08,19, 10, 2.165, 0.104, 12
2016,08,19, 11, 2.438, 0.326, 12
2016,08,19, 12, 2.691, 0.190, 12
2016,08,19, 13, 2.393, 0.525, 12
2016,08,19, 14, 1.684, 0.376, 12
2016,08,19, 15, 0.728, 0.317, 12
2016,08,19, 16, 0.323, 0.041, 12
2016,08,19, 17, 0.239, 0.068, 12
2016,08,19, 18, 0.175, 0.053, 12
2016,08,19, 19, 0.029, 0.011, 12
2016,08,19, 20, 0.012, 0.000,  1
2016,08,20, 06, 0.075, 0.032,  8
2016,08,20, 07, 0.222, 0.063, 12
2016,08,20, 08, 0.533, 0.128, 12
2016,08,20, 09, 0.938, 0.444, 12
2016,08,20, 10, 1.329, 0.736, 12
2016,08,20, 11, 1.646, 0.715, 12
